work_area,hakai_id,station,latitude,longitude,time,depth,temperature,salinity,dissolved_oxygen_ml_l,dissolved_oxygen_percent
CALVERT,018066_2016-01-15T18:52:43.666Z,KC12,51.6504,-128.07,2016-01-15T18:52:44Z,1.96,,,,
CALVERT,018066_2016-01-15T18:52:43.666Z,KC12,51.6504,-128.07,2016-01-15T18:52:44Z,2.946,,,,
CALVERT,018066_2016-01-15T18:52:43.666Z,KC12,51.6504,-128.07,2016-01-15T18:52:44Z,3.942,,,,
CALVERT,018066_2016-01-15T18:52:43.666Z,KC12,51.6504,-128.07,2016-01-15T18:52:44Z,4.983,,,,
CALVERT,018066_2016-01-15T18:52:43.666Z,KC12,51.6504,-128.07,2016-01-15T18:52:44Z,5.937,,,,
CALVERT,018066_2016-01-15T18:52:43.666Z,KC12,51.6504,-128.07,2016-01-15T18:52:44Z,6.87,,,,
CALVERT,018066_2016-02-26T19:04:14.167Z,KC12,51.6504,-128.07,2016-02-26T19:04:15Z,0.927,8.2031,29.5013,7.135,
CALVERT,018066_2016-02-26T19:04:14.167Z,KC12,51.6504,-128.07,2016-02-26T19:04:15Z,1.921,8.204,29.7274,6.9106,
CALVERT,018066_2016-02-26T19:04:14.167Z,KC12,51.6504,-128.07,2016-02-26T19:04:15Z,2.999,8.2123,29.7743,6.8467,
CALVERT,018066_2016-02-26T19:04:14.167Z,KC12,51.6504,-128.07,2016-02-26T19:04:15Z,3.977,8.2285,29.7992,6.8277,
CALVERT,018066_2016-02-26T19:04:14.167Z,KC12,51.6504,-128.07,2016-02-26T19:04:15Z,4.931,8.2913,29.9362,6.8115,
CALVERT,018066_2016-02-26T19:04:14.167Z,KC12,51.6504,-128.07,2016-02-26T19:04:15Z,5.908,8.2948,29.9517,6.7978,
CALVERT,018066_2016-02-26T19:04:14.167Z,KC12,51.6504,-128.07,2016-02-26T19:04:15Z,6.956,8.2986,29.9506,6.7846,
CALVERT,018066_2016-03-18T17:37:20.834Z,KC12,51.6504,-128.07,2016-03-18T17:37:22Z,0.944,8.5805,28.9593,6.9483,
CALVERT,018066_2016-03-18T17:40:42.667Z,KC12,51.6504,-128.07,2016-03-18T17:37:22Z,0.943,8.5805,28.9593,6.9483,
CALVERT,018066_2016-03-18T17:40:42.667Z,KC12,51.6504,-128.07,2016-03-18T17:37:22Z,1.874,8.5632,29.1144,6.8983,
CALVERT,018066_2016-03-18T17:37:20.834Z,KC12,51.6504,-128.07,2016-03-18T17:37:22Z,1.875,8.5632,29.1144,6.8983,
CALVERT,018066_2016-03-18T17:37:20.834Z,KC12,51.6504,-128.07,2016-03-18T17:37:22Z,2.938,8.5563,29.1441,6.887,
CALVERT,018066_2016-03-18T17:40:42.667Z,KC12,51.6504,-128.07,2016-03-18T17:37:22Z,2.937,8.5563,29.1441,6.887,
CALVERT,018066_2016-03-18T17:40:42.667Z,KC12,51.6504,-128.07,2016-03-18T17:37:22Z,3.994,8.5784,29.2031,6.87,
CALVERT,018066_2016-03-18T17:37:20.834Z,KC12,51.6504,-128.07,2016-03-18T17:37:22Z,3.995,8.5784,29.2031,6.87,
CALVERT,018066_2016-03-18T17:37:20.834Z,KC12,51.6504,-128.07,2016-03-18T17:37:22Z,5.021,8.6259,29.365,6.8502,
CALVERT,018066_2016-03-18T17:40:42.667Z,KC12,51.6504,-128.07,2016-03-18T17:37:22Z,5.02,8.6259,29.365,6.8502,
CALVERT,018066_2016-03-18T17:40:42.667Z,KC12,51.6504,-128.07,2016-03-18T17:37:22Z,5.973,8.6564,29.4719,6.836,
CALVERT,018066_2016-03-18T17:37:20.834Z,KC12,51.6504,-128.07,2016-03-18T17:37:22Z,5.974,8.6564,29.4719,6.836,
CALVERT,018066_2016-03-18T17:37:20.834Z,KC12,51.6504,-128.07,2016-03-18T17:37:22Z,6.806,8.6608,29.5094,6.8154,
CALVERT,018066_2016-03-18T17:40:42.667Z,KC12,51.6504,-128.07,2016-03-18T17:37:22Z,6.805,8.6608,29.5094,6.8154,
CALVERT,018066_2016-04-07T21:13:45.667Z,KC12,51.6504,-128.07,2016-04-07T21:13:47Z,0.881,9.7769,27.0282,7.9252,
CALVERT,018066_2016-04-07T21:13:45.667Z,KC12,51.6504,-128.07,2016-04-07T21:13:47Z,1.923,9.651,28.2873,7.9002,
CALVERT,018066_2016-04-07T21:13:45.667Z,KC12,51.6504,-128.07,2016-04-07T21:13:47Z,2.967,9.4501,28.8166,7.7975,
CALVERT,018066_2016-04-07T21:13:45.667Z,KC12,51.6504,-128.07,2016-04-07T21:13:47Z,4.108,9.3001,29.2509,7.6742,
CALVERT,018066_2016-04-07T21:13:45.667Z,KC12,51.6504,-128.07,2016-04-07T21:13:47Z,4.748,9.1434,29.6506,7.4196,
CALVERT,018066_2016-04-07T21:13:45.667Z,KC12,51.6504,-128.07,2016-04-07T21:13:47Z,6,9.1062,29.7449,7.3803,
CALVERT,018066_2016-04-07T21:19:36.833Z,KC12,51.6504,-128.07,2016-04-07T21:19:38Z,0.958,9.9595,27.2115,7.9465,
CALVERT,018066_2016-04-07T21:19:36.833Z,KC12,51.6504,-128.07,2016-04-07T21:19:38Z,1.937,9.6751,28.4656,7.8514,
CALVERT,018066_2016-04-07T21:19:36.833Z,KC12,51.6504,-128.07,2016-04-07T21:19:38Z,2.946,9.4799,28.7257,7.7272,
CALVERT,018066_2016-04-07T21:19:36.833Z,KC12,51.6504,-128.07,2016-04-07T21:19:38Z,3.91,9.3054,29.1843,7.5863,
CALVERT,018066_2016-04-07T21:19:36.833Z,KC12,51.6504,-128.07,2016-04-07T21:19:38Z,4.935,9.1804,29.5022,7.4222,
CALVERT,018066_2016-04-07T21:19:36.833Z,KC12,51.6504,-128.07,2016-04-07T21:19:38Z,5.969,9.1251,29.6794,7.2511,
CALVERT,018066_2016-04-07T21:19:36.833Z,KC12,51.6504,-128.07,2016-04-07T21:19:38Z,6.975,9.032,30.0213,7.0718,
CALVERT,018066_2016-04-27T15:48:46.666Z,KC12,51.6504,-128.07,2016-04-27T15:40:06Z,6.810457873,,,,
CALVERT,018032_2016-05-18T18:23:46.833Z,KC12,51.6504,-128.07,2016-05-18T18:23:47Z,1.049,11.4834,24.3456,,
CALVERT,018032_2016-05-18T18:23:46.833Z,KC12,51.6504,-128.07,2016-05-18T18:23:47Z,2.024,11.4913,28.4294,,
CALVERT,018032_2016-05-18T18:23:46.833Z,KC12,51.6504,-128.07,2016-05-18T18:23:47Z,2.996,11.3762,28.6068,,
CALVERT,018032_2016-05-18T18:23:46.833Z,KC12,51.6504,-128.07,2016-05-18T18:23:47Z,3.989,11.3305,28.6934,,
CALVERT,018032_2016-05-18T18:23:46.833Z,KC12,51.6504,-128.07,2016-05-18T18:23:47Z,4.886,11.2438,28.9674,,
CALVERT,018032_2016-05-18T18:23:46.833Z,KC12,51.6504,-128.07,2016-05-18T18:23:47Z,5.915,11.2043,29.0692,,
CALVERT,018032_2016-05-18T18:23:46.833Z,KC12,51.6504,-128.07,2016-05-18T18:23:47Z,6.973,11.0578,29.4541,,
CALVERT,018032_2016-05-18T18:28:55.000Z,KC12,51.6504,-128.07,2016-05-18T18:28:55Z,1.001,11.4249,28.5291,,
CALVERT,018032_2016-05-18T18:28:55.000Z,KC12,51.6504,-128.07,2016-05-18T18:28:55Z,2.02,11.4209,28.537,,
